county,crop,year,area_ha,production_tons,yield_tha
Uasin Gishu,Maize,2021,104645.0,385400.0,3.6829279946485736
Uasin Gishu,Maize,2022,102820.0,359870.0,3.5
Uasin Gishu,Maize,2023,117923.0,476538.0,4.041094612586179
Uasin Gishu,Maize,2024,107009.0,483211.0,4.515610836471699
Uasin Gishu,Maize,2025,121272.0,540044.0,4.45316313741012
Trans Nzoia,Maize,2021,107090.0,407913.0,3.8090671397889615
Trans Nzoia,Maize,2022,95140.0,339990.0,3.5735757830565484
Trans Nzoia,Maize,2023,125065.0,448011.0,3.582225242873706
Trans Nzoia,Maize,2024,124976.0,423156.0,3.3858980924337474
Trans Nzoia,Maize,2025,114568.0,432139.0,3.7718996578451223
Kakamega,Maize,2021,98415.0,262506.0,2.6673372961438804
Kakamega,Maize,2022,100641.0,154369.0,1.533857970409674
Kakamega,Maize,2023,87532.0,132572.0,1.5145546771466436
Kakamega,Maize,2024,105181.0,212753.0,2.0227322425152834
Kakamega,Maize,2025,92816.0,382216.0,4.11799689708671
Nakuru,Maize,2021,87651.0,242825.0,2.7703620038562025
Nakuru,Maize,2022,66315.0,213786.0,3.2237955213752545
Nakuru,Maize,2023,71470.0,215412.0,3.014019868476284
Nakuru,Maize,2024,94421.0,201876.0,2.1380413255525785
Nakuru,Maize,2025,88704.0,349862.0,3.944151334776335
Bungoma,Maize,2021,93214.0,269443.0,2.8905851052417018
Bungoma,Maize,2022,92464.0,275420.0,2.9786727807579165
Bungoma,Maize,2023,92847.0,222912.0,2.4008530162525443
Bungoma,Maize,2024,90297.0,207846.0,2.301804046646068
Bungoma,Maize,2025,86428.0,327492.6,3.7891956310454944
Narok,Maize,2021,121809.0,280273.0,2.3009219351607846
Narok,Maize,2022,127460.0,271028.0,2.126376902557665
Narok,Maize,2023,132396.0,314403.0,2.3747167588144658
Narok,Maize,2024,122245.0,224236.0,1.8343163319563167
Narok,Maize,2025,137884.0,310076.1,2.2488185721330973
Nandi,Maize,2021,26825.0,64175.0,2.392357875116496
Nandi,Maize,2022,45674.0,89447.0,1.958378946446556
Nandi,Maize,2023,67429.0,159556.0,2.366281570244257
Nandi,Maize,2024,57812.0,179389.0,3.1029717013768767
Nandi,Maize,2025,70604.0,190925.0,2.704166902725058
Baringo,Maize,2021,34709.0,59169.0,1.7047163559883605
Baringo,Maize,2022,37894.0,50820.0,1.341109410460759
Baringo,Maize,2023,42501.0,94877.0,2.2323474741770784
Baringo,Maize,2024,47457.0,83958.0,1.7691383778999936
Baringo,Maize,2025,48795.0,176219.0,3.611415104006558
Elgeyo-Marakwet,Maize,2021,31351.0,86007.0,2.7433574686612867
Elgeyo-Marakwet,Maize,2022,31713.0,72330.0,2.2807681392488885
Elgeyo-Marakwet,Maize,2023,43133.0,150221.0,3.4827394338441566
Elgeyo-Marakwet,Maize,2024,42182.0,117786.0,2.7923284813427527
Elgeyo-Marakwet,Maize,2025,37919.0,169604.0,4.4727972784092405
Homa Bay,Maize,2021,79608.0,82278.0,1.0335393427796202
Homa Bay,Maize,2022,72215.0,86658.0,1.2
Homa Bay,Maize,2023,78795.0,115635.0,1.4675423567485246
Homa Bay,Maize,2024,89172.0,146866.0,1.646996815143767
Homa Bay,Maize,2025,86540.0,152422.0,1.7612895770741854
Meru,Maize,2021,75058.0,53331.0,0.7105305230621652
Meru,Maize,2022,66338.0,63157.0,0.9520485995960084
Meru,Maize,2023,142379.0,151039.0,1.060823576510581
Meru,Maize,2024,136082.0,133150.0,0.97845416734028
Meru,Maize,2025,95140.0,150404.5,1.580875551818373
Kericho,Maize,2021,35068.0,98746.0,2.815843504049276
Kericho,Maize,2022,40530.0,85975.0,2.1212681963977302
Kericho,Maize,2023,40643.0,111130.0,2.734296188765593
Kericho,Maize,2024,43908.0,134358.0,3.0599890680513804
Kericho,Maize,2025,45070.0,146538.0,3.2513423563345905
Migori,Maize,2021,95034.0,99598.0,1.048024917397984
Migori,Maize,2022,85628.0,92441.0,1.0795650955294998
Migori,Maize,2023,78567.0,101474.0,1.291560069749386
Migori,Maize,2024,88449.0,148919.0,1.6836708159504348
Migori,Maize,2025,91064.0,136134.0,1.4949266449969252
Kisii,Maize,2021,65876.0,96249.0,1.4610632096666465
Kisii,Maize,2022,43735.0,79671.0,1.8216760032010972
Kisii,Maize,2023,66221.0,119244.0,1.8006976638830583
Kisii,Maize,2024,65900.0,41087.0,0.6234749620637329
Kisii,Maize,2025,57378.0,123237.0,2.1478092648750398
Siaya,Maize,2021,83933.0,53512.0,0.6375561459735741
Siaya,Maize,2022,73521.0,76580.0,1.041607159859088
Siaya,Maize,2023,77550.0,115191.0,1.485377176015474
Siaya,Maize,2024,77660.0,143979.0,1.8539660056657223
Siaya,Maize,2025,72600.0,120855.0,1.6646694214876032
Nyamira,Maize,2021,43134.0,61937.0,1.4359206194649232
Nyamira,Maize,2022,48280.0,76884.0,1.592460646230323
Nyamira,Maize,2023,48175.0,63424.0,1.316533471717696
Nyamira,Maize,2024,48580.0,89599.0,1.844359818855496
Nyamira,Maize,2025,65748.0,91902.0,1.3977915678043438
Busia,Maize,2021,33810.0,42028.0,1.243064182194617
Busia,Maize,2022,42476.0,64360.0,1.51520858837932
Busia,Maize,2023,44097.0,71237.0,1.6154613692541442
Busia,Maize,2024,44204.0,77934.0,1.7630531173649444
Busia,Maize,2025,40989.0,86388.0,2.107589841176901
Kilifi,Maize,2021,53943.0,26176.0,0.4852529521902749
Kilifi,Maize,2022,72748.0,47780.0,0.6567878154725904
Kilifi,Maize,2023,95674.0,81813.0,0.8551226038422142
Kilifi,Maize,2024,51393.0,41907.0,0.8154223337808651
Kilifi,Maize,2025,70628.0,85939.43,1.2167898000792885
Machakos,Maize,2021,144201.0,59321.0,0.4113771749155692
Machakos,Maize,2022,134048.0,22597.0,0.1685739436619718
Machakos,Maize,2023,138830.0,175493.0,1.2640855722826478
Machakos,Maize,2024,158761.0,91910.0,0.578920515743791
Machakos,Maize,2025,227692.0,84320.18,0.3703256153048855
West Pokot,Maize,2021,34911.0,53193.0,1.5236744865515166
West Pokot,Maize,2022,34780.0,52650.0,1.5138010350776308
West Pokot,Maize,2023,49097.0,96010.0,1.9555166303440128
West Pokot,Maize,2024,56403.0,96984.0,1.7194830062230733
West Pokot,Maize,2025,52313.0,83416.0,1.5945558465391012
Embu,Maize,2021,35925.0,31378.0,0.8734307585247042
Embu,Maize,2022,34506.0,10077.0,0.2920361676230221
Embu,Maize,2023,34500.0,41327.0,1.1978840579710144
Embu,Maize,2024,34750.0,25659.0,0.7383884892086331
Embu,Maize,2025,144420.0,73100.0,0.5061625813599224
Bomet,Maize,2021,40480.0,58685.0,1.4497282608695652
Bomet,Maize,2022,27597.0,43287.0,1.5685400587020328
Bomet,Maize,2023,27250.0,63230.0,2.320366972477064
Bomet,Maize,2024,33491.0,52714.0,1.5739750977874654
Bomet,Maize,2025,26195.0,71167.0,2.7168161862950946
Kwale,Maize,2021,56128.0,33815.0,0.6024622291904219
Kwale,Maize,2022,23200.0,45428.0,1.958103448275862
Kwale,Maize,2023,60518.0,61037.0,1.0085759608711458
Kwale,Maize,2024,58116.0,44127.0,0.7592917613049762
Kwale,Maize,2025,69109.0,69771.37,1.00958442460461
Makueni,Maize,2021,150726.0,88013.0,0.5839271260432839
Makueni,Maize,2022,132910.0,83018.0,0.6246181626664661
Makueni,Maize,2023,136912.0,81363.0,0.5942722332593199
Makueni,Maize,2024,155337.0,83506.0,0.5375795850312546
Makueni,Maize,2025,134443.0,63095.38,0.4693095215072558
Laikipia,Maize,2021,24932.0,34520.0,1.3845660195732392
Laikipia,Maize,2022,25055.0,7288.0,0.2908800638595091
Laikipia,Maize,2023,29596.0,44264.0,1.4956075145289904
Laikipia,Maize,2024,29240.0,51372.0,1.756908344733242
Laikipia,Maize,2025,27650.0,56045.0,2.026943942133816
Murang'a,Maize,2021,62983.0,49256.0,0.7820522998269375
Murang'a,Maize,2022,67530.0,47434.0,0.7024137420405746
Murang'a,Maize,2023,68399.0,56827.0,0.8308162400035088
Murang'a,Maize,2024,54189.0,55488.0,1.023971654763882
Murang'a,Maize,2025,66041.0,54534.2,0.8257627837252616
Kisumu,Maize,2021,62600.0,40990.0,0.6547923322683706
Kisumu,Maize,2022,54125.0,34513.0,0.6376535796766744
Kisumu,Maize,2023,62195.0,105003.0,1.6882868397781172
Kisumu,Maize,2024,48400.0,58657.0,1.2119214876033058
Kisumu,Maize,2025,46730.0,52906.46,1.132173336186604
Kirinyaga,Maize,2021,30373.0,24388.0,0.8029499884766075
Kirinyaga,Maize,2022,30503.0,13547.0,0.4441202504671672
Kirinyaga,Maize,2023,38467.0,49692.0,1.291808563184028
Kirinyaga,Maize,2024,28228.0,38468.0,1.3627603797647725
Kirinyaga,Maize,2025,27068.0,50409.0,1.86230973843653
Kiambu,Maize,2021,30371.0,25563.0,0.841691086892101
Kiambu,Maize,2022,29174.0,19655.0,0.6737163227531363
Kiambu,Maize,2023,30537.0,29692.0,0.97232865048957
Kiambu,Maize,2024,33534.0,39471.0,1.1770441939524066
Kiambu,Maize,2025,33522.0,35258.0,1.0517868862239723
Nyandarua,Maize,2021,14070.0,27958.0,1.9870646766169155
Nyandarua,Maize,2022,20060.0,26836.0,1.337786640079761
Nyandarua,Maize,2023,20716.0,46617.0,2.250289631202935
Nyandarua,Maize,2024,14987.0,28698.0,1.9148595449389472
Nyandarua,Maize,2025,17167.0,33139.0,1.930389701170851
Vihiga,Maize,2021,22340.0,24191.0,1.0828558639212176
Vihiga,Maize,2022,26142.0,25335.0,0.9691301354142758
Vihiga,Maize,2023,24921.0,29659.0,1.1901207816700774
Vihiga,Maize,2024,24771.0,34171.0,1.3794760001614792
Vihiga,Maize,2025,25361.0,27065.0,1.067189779582824
Tana River,Maize,2021,4251.0,958.0,0.225358739120207
Tana River,Maize,2022,6673.0,8257.0,1.237374494230481
Tana River,Maize,2023,5734.0,5879.0,1.0252877572375303
Tana River,Maize,2024,5063.0,14658.0,2.895121469484496
Tana River,Maize,2025,8096.0,23685.0,2.925518774703557
Nyeri,Maize,2021,27067.0,19382.0,0.7160749251856504
Nyeri,Maize,2022,26984.0,14323.0,0.5307960272754225
Nyeri,Maize,2023,31317.0,35280.0,1.1265446881885235
Nyeri,Maize,2024,29248.0,24832.0,0.849015317286652
Nyeri,Maize,2025,30596.0,22053.0,0.720780494182246
Kitui,Maize,2021,79035.0,11508.0,0.145606376921617
Kitui,Maize,2022,62987.0,9183.0,0.1457919888230904
Kitui,Maize,2023,83618.0,36292.0,0.4340213829558229
Kitui,Maize,2024,89423.0,17845.0,0.1995571609093857
Kitui,Maize,2025,124355.0,21967.22,0.1766492702344095
Tharaka-Nithi,Maize,2021,25420.0,30352.0,1.1940204563335957
Tharaka-Nithi,Maize,2022,23640.0,20668.0,0.8742808798646362
Tharaka-Nithi,Maize,2023,26617.0,33808.0,1.2701656835856785
Tharaka-Nithi,Maize,2024,37588.0,55426.0,1.474566350963073
Tharaka-Nithi,Maize,2025,23423.0,20727.25,0.884910131067754
Kajiado,Maize,2021,4808.0,2864.0,0.5956738768718802
Kajiado,Maize,2022,32159.0,13063.0,0.4062004415560185
Kajiado,Maize,2023,33241.0,40733.0,1.225384314551307
Kajiado,Maize,2024,21906.0,40573.0,1.8521409659454031
Kajiado,Maize,2025,35551.0,17777.0,0.5000421929059661
Lamu,Maize,2021,16820.0,4772.0,0.2837098692033293
Lamu,Maize,2022,39502.0,59102.0,1.496177408738798
Lamu,Maize,2023,45800.0,74318.0,1.6226637554585153
Lamu,Maize,2024,23154.0,48436.0,2.091906366070657
Lamu,Maize,2025,10620.0,14098.5,1.327542372881356
Samburu,Maize,2021,12425.0,12090.0,0.9730382293762576
Samburu,Maize,2022,15870.0,11178.0,0.7043478260869566
Samburu,Maize,2023,6448.0,15298.0,2.372518610421836
Samburu,Maize,2024,11572.0,9135.0,0.7894054614586934
Samburu,Maize,2025,13340.0,13340.0,1.0
Taita Taveta,Maize,2021,12252.0,3360.0,0.2742409402546523
Taita Taveta,Maize,2022,11464.0,10893.0,0.950191905094208
Taita Taveta,Maize,2023,13596.0,12393.0,0.9115180935569284
Taita Taveta,Maize,2024,11426.0,13176.0,1.1531594608786977
Taita Taveta,Maize,2025,11913.0,10025.1,0.8415260639637371
Mandera,Maize,2021,3510.0,1818.0,0.517948717948718
Mandera,Maize,2022,3209.0,2160.0,0.6731068868806481
Mandera,Maize,2023,3209.0,2738.0,0.8532253038329698
Mandera,Maize,2024,2828.0,3113.0,1.100777934936351
Mandera,Maize,2025,2695.0,3007.0,1.1157699443413729
Turkana,Maize,2021,1295.0,1154.0,0.8911196911196911
Turkana,Maize,2022,3408.0,452.0,0.1326291079812206
Turkana,Maize,2023,1750.0,1331.0,0.7605714285714286
